CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Pattern,Group
ECA,[3373-138628222],[3432-143023913],[3477-147430852],[3525-151938552],[3576-156512958],[3631-161096641],[3690-165313161],[3753-169604122],[3815-173908583],[3874-178204577],[3924-182389306],[3990-186635418],[4066-191057437],[4139-195453775],[4214-199894401],[4294-204300151],[4382-208757041],[4474-213171530],[4567-217586962],[4653-221725178],[4727-225650053],[4769-230016810],[4784-234461566],[4792-238950742],[4797-243660758],[4803-248340926],[4811-252836536],[4820-257246426],[4832-261575344],[4847-265163187],[4866-267513603],[4897-269099111],[4938-270317517],[4982-271288280],[5030-271803619],[5082-272236650],[5103-272460755],[5093-272847406],[5081-273201958],[5062-273514049],[5036-273470737],[5037-273565362],[5067-273704745],[5092-274193955],[5114-274839740],[5137-275537061],[5160-276303207],[5183-277108479],[5206-278225270],[5227-279785617],[5247-281426666],[5265-283268092],[5285-285355678],[5308-287609656],[5334-289874881],[5363-292049693],ade,0
TEC,[3373-138628222],[3432-143023913],[3477-147430852],[3525-151938552],[3576-156512958],[3631-161096641],[3690-165313161],[3753-169604122],[3815-173908583],[3874-178204577],[3924-182389306],[3990-186635418],[4066-191057437],[4139-195453775],[4214-199894401],[4294-204300151],[4382-208757041],[4474-213171530],[4567-217586962],[4653-221725178],[4727-225650053],[4769-230016810],[4784-234461566],[4792-238950742],[4797-243660758],[4803-248340926],[4811-252836536],[4820-257246426],[4832-261575344],[4847-265163187],[4866-267513603],[4897-269099111],[4938-270317517],[4982-271288280],[5030-271803619],[5082-272236650],[5103-272460755],[5093-272847406],[5081-273201958],[5062-273514049],[5036-273470737],[5037-273565362],[5067-273704745],[5092-274193955],[5114-274839740],[5137-275537061],[5160-276303207],[5183-277108479],[5206-278225270],[5227-279785617],[5247-281426666],[5265-283268092],[5285-285355678],[5308-287609656],[5334-289874881],[5363-292049693],ade,0
BLR,[3373-138628222],[3432-143023913],[3477-147430852],[3525-151938552],[3576-156512958],[3631-161096641],[3690-165313161],[3753-169604122],[3815-173908583],[3874-178204577],[3924-182389306],[3990-186635418],[4066-191057437],[4139-195453775],[4214-199894401],[4294-204300151],[4382-208757041],[4474-213171530],[4567-217586962],[4653-221725178],[4727-225650053],[4769-230016810],[4784-234461566],[4792-238950742],[4797-243660758],[4803-248340926],[4811-252836536],[4820-257246426],[4832-261575344],[4847-265163187],[4866-267513603],[4897-269099111],[4938-270317517],[4982-271288280],[5030-271803619],[5082-272236650],[5103-272460755],[5093-272847406],[5081-273201958],[5062-273514049],[5036-273470737],[5037-273565362],[5067-273704745],[5092-274193955],[5114-274839740],[5137-275537061],[5160-276303207],[5183-277108479],[5206-278225270],[5227-279785617],[5247-281426666],[5265-283268092],[5285-285355678],[5308-287609656],[5334-289874881],[5363-292049693],ade,0
DMA,[3373-138628222],[3432-143023913],[3477-147430852],[3525-151938552],[3576-156512958],[3631-161096641],[3690-165313161],[3753-169604122],[3815-173908583],[3874-178204577],[3924-182389306],[3990-186635418],[4066-191057437],[4139-195453775],[4214-199894401],[4294-204300151],[4382-208757041],[4474-213171530],[4567-217586962],[4653-221725178],[4727-225650053],[4769-230016810],[4784-234461566],[4792-238950742],[4797-243660758],[4803-248340926],[4811-252836536],[4820-257246426],[4832-261575344],[4847-265163187],[4866-267513603],[4897-269099111],[4938-270317517],[4982-271288280],[5030-271803619],[5082-272236650],[5103-272460755],[5093-272847406],[5081-273201958],[5062-273514049],[5036-273470737],[5037-273565362],[5067-273704745],[5092-274193955],[5114-274839740],[5137-275537061],[5160-276303207],[5183-277108479],[5206-278225270],[5227-279785617],[5247-281426666],[5265-283268092],[5285-285355678],[5308-287609656],[5334-289874881],[5363-292049693],ade,0
GRL,[3373-138628222],[3432-143023913],[3477-147430852],[3525-151938552],[3576-156512958],[3631-161096641],[3690-165313161],[3753-169604122],[3815-173908583],[3874-178204577],[3924-182389306],[3990-186635418],[4066-191057437],[4139-195453775],[4214-199894401],[4294-204300151],[4382-208757041],[4474-213171530],[4567-217586962],[4653-221725178],[4727-225650053],[4769-230016810],[4784-234461566],[4792-238950742],[4797-243660758],[4803-248340926],[4811-252836536],[4820-257246426],[4832-261575344],[4847-265163187],[4866-267513603],[4897-269099111],[4938-270317517],[4982-271288280],[5030-271803619],[5082-272236650],[5103-272460755],[5093-272847406],[5081-273201958],[5062-273514049],[5036-273470737],[5037-273565362],[5067-273704745],[5092-274193955],[5114-274839740],[5137-275537061],[5160-276303207],[5183-277108479],[5206-278225270],[5227-279785617],[5247-281426666],[5265-283268092],[5285-285355678],[5308-287609656],[5334-289874881],[5363-292049693],ade,0
LIE,[3373-138628222],[3432-143023913],[3477-147430852],[3525-151938552],[3576-156512958],[3631-161096641],[3690-165313161],[3753-169604122],[3815-173908583],[3874-178204577],[3924-182389306],[3990-186635418],[4066-191057437],[4139-195453775],[4214-199894401],[4294-204300151],[4382-208757041],[4474-213171530],[4567-217586962],[4653-221725178],[4727-225650053],[4769-230016810],[4784-234461566],[4792-238950742],[4797-243660758],[4803-248340926],[4811-252836536],[4820-257246426],[4832-261575344],[4847-265163187],[4866-267513603],[4897-269099111],[4938-270317517],[4982-271288280],[5030-271803619],[5082-272236650],[5103-272460755],[5093-272847406],[5081-273201958],[5062-273514049],[5036-273470737],[5037-273565362],[5067-273704745],[5092-274193955],[5114-274839740],[5137-275537061],[5160-276303207],[5183-277108479],[5206-278225270],[5227-279785617],[5247-281426666],[5265-283268092],[5285-285355678],[5308-287609656],[5334-289874881],[5363-292049693],ade,0
MUS,[3373-138628222],[3432-143023913],[3477-147430852],[3525-151938552],[3576-156512958],[3631-161096641],[3690-165313161],[3753-169604122],[3815-173908583],[3874-178204577],[3924-182389306],[3990-186635418],[4066-191057437],[4139-195453775],[4214-199894401],[4294-204300151],[4382-208757041],[4474-213171530],[4567-217586962],[4653-221725178],[4727-225650053],[4769-230016810],[4784-234461566],[4792-238950742],[4797-243660758],[4803-248340926],[4811-252836536],[4820-257246426],[4832-261575344],[4847-265163187],[4866-267513603],[4897-269099111],[4938-270317517],[4982-271288280],[5030-271803619],[5082-272236650],[5103-272460755],[5093-272847406],[5081-273201958],[5062-273514049],[5036-273470737],[5037-273565362],[5067-273704745],[5092-274193955],[5114-274839740],[5137-275537061],[5160-276303207],[5183-277108479],[5206-278225270],[5227-279785617],[5247-281426666],[5265-283268092],[5285-285355678],[5308-287609656],[5334-289874881],[5363-292049693],ade,0
PRI,[3373-138628222],[3432-143023913],[3477-147430852],[3525-151938552],[3576-156512958],[3631-161096641],[3690-165313161],[3753-169604122],[3815-173908583],[3874-178204577],[3924-182389306],[3990-186635418],[4066-191057437],[4139-195453775],[4214-199894401],[4294-204300151],[4382-208757041],[4474-213171530],[4567-217586962],[4653-221725178],[4727-225650053],[4769-230016810],[4784-234461566],[4792-238950742],[4797-243660758],[4803-248340926],[4811-252836536],[4820-257246426],[4832-261575344],[4847-265163187],[4866-267513603],[4897-269099111],[4938-270317517],[4982-271288280],[5030-271803619],[5082-272236650],[5103-272460755],[5093-272847406],[5081-273201958],[5062-273514049],[5036-273470737],[5037-273565362],[5067-273704745],[5092-274193955],[5114-274839740],[5137-275537061],[5160-276303207],[5183-277108479],[5206-278225270],[5227-279785617],[5247-281426666],[5265-283268092],[5285-285355678],[5308-287609656],[5334-289874881],[5363-292049693],ade,0
CEB,[19293-64421857],[19724-66226377],[20198-68060071],[20710-69923357],[21253-71815164],[21822-73731369],[22419-75267305],[23043-76812479],[23679-78366306],[24304-79922296],[24902-81464683],[25464-82992261],[25996-84524649],[26518-86061054],[27066-87600777],[27662-89145034],[28320-90810675],[29030-92479950],[29781-94157479],[30548-95659612],[31313-96960865],[32065-98228786],[32816-99464693],[33586-100677781],[34407-102058393],[35299-103466989],[36277-104825013],[37328-106169956],[38422-107471421],[39510-108424260],[40554-108837430],[41448-109073667],[41685-109115423],[41881-108985461],[42075-108843023],[42296-108866238],[42551-108700578],[42831-108515107],[43116-108329743],[43375-107987645],[43591-107528575],[43586-107067618],[42184-106568907],[40791-106132766],[39448-105771150],[38184-105433013],[36998-105152847],[35874-105037426],[34772-105055515],[33660-105149982],[32730-105261473],[33077-105407907],[33374-105662789],[33652-105981289],[33932-106317178],[34232-106643169],acc,1
BIH,[19293-64421857],[19724-66226377],[20198-68060071],[20710-69923357],[21253-71815164],[21822-73731369],[22419-75267305],[23043-76812479],[23679-78366306],[24304-79922296],[24902-81464683],[25464-82992261],[25996-84524649],[26518-86061054],[27066-87600777],[27662-89145034],[28320-90810675],[29030-92479950],[29781-94157479],[30548-95659612],[31313-96960865],[32065-98228786],[32816-99464693],[33586-100677781],[34407-102058393],[35299-103466989],[36277-104825013],[37328-106169956],[38422-107471421],[39510-108424260],[40554-108837430],[41448-109073667],[41685-109115423],[41881-108985461],[42075-108843023],[42296-108866238],[42551-108700578],[42831-108515107],[43116-108329743],[43375-107987645],[43591-107528575],[43586-107067618],[42184-106568907],[40791-106132766],[39448-105771150],[38184-105433013],[36998-105152847],[35874-105037426],[34772-105055515],[33660-105149982],[32730-105261473],[33077-105407907],[33374-105662789],[33652-105981289],[33932-106317178],[34232-106643169],acc,1
